Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan,Iterations
GA,OFF,bom_50_2_50_5,2251799813685247.0,1,190.1781,3043800.0,74.0
GA,OFF,bom_50_2_50_5,2251799813685247.0,2,189.9431,3043800.0,75.0
GA,OFF,bom_50_2_50_5,2251799813685247.0,3,190.8733,3043800.0,74.0
GA_opt,ON,bom_50_2_50_5,2251799813685247.0,1,187.5719,3021400.0,71.0
GA_opt,ON,bom_50_2_50_5,2251799813685247.0,2,189.7375,3025400.0,75.0
GA_opt,ON,bom_50_2_50_5,2251799813685247.0,3,188.0849,3025600.0,77.0
GA_BS,OFF,bom_50_2_50_5,2251799813685247.0,1,187.1996,3008632.0,76.0
GA_BS,OFF,bom_50_2_50_5,2251799813685247.0,2,189.2202,3003340.0,72.0
GA_BS,OFF,bom_50_2_50_5,2251799813685247.0,3,186.5706,3010210.0,72.0
GA_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,1,189.8781,2949184.0,74.0
GA_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,2,187.9835,3005229.0,76.0
GA_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,3,187.2566,2976319.0,76.0
ABC,OFF,bom_50_2_50_5,2251799813685247.0,1,187.0428,3043800.0,2083.0
ABC,OFF,bom_50_2_50_5,2251799813685247.0,2,186.1516,3043800.0,2176.0
ABC,OFF,bom_50_2_50_5,2251799813685247.0,3,186.1181,3043800.0,2103.0
ABC_opt,ON,bom_50_2_50_5,2251799813685247.0,1,186.1035,3025400.0,2128.0
ABC_opt,ON,bom_50_2_50_5,2251799813685247.0,2,186.1694,3034000.0,2028.0
ABC_opt,ON,bom_50_2_50_5,2251799813685247.0,3,188.0115,3043800.0,2023.0
ABC_BS,OFF,bom_50_2_50_5,2251799813685247.0,1,187.3651,3043800.0,2027.0
ABC_BS,OFF,bom_50_2_50_5,2251799813685247.0,2,186.1412,3043800.0,2133.0
ABC_BS,OFF,bom_50_2_50_5,2251799813685247.0,3,187.2252,3043800.0,2037.0
ABC_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,1,187.0937,2837469.0,1963.0
ABC_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,2,186.1268,2774843.0,2024.0
ABC_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,3,187.0965,2819871.0,1981.0
TS,OFF,bom_50_2_50_5,2251799813685247.0,1,182.3696,3028600.0,2412.8125
TS,OFF,bom_50_2_50_5,2251799813685247.0,2,180.4427,3028600.0,2430.59375
TS,OFF,bom_50_2_50_5,2251799813685247.0,3,180.2457,3028600.0,2442.59375
TS_opt,ON,bom_50_2_50_5,2251799813685247.0,1,180.2828,2955700.0,2431.21875
TS_opt,ON,bom_50_2_50_5,2251799813685247.0,2,180.2242,2993938.0,2436.28125
TS_opt,ON,bom_50_2_50_5,2251799813685247.0,3,180.42,2952700.0,2412.5625
TS_BS,OFF,bom_50_2_50_5,2251799813685247.0,1,180.4486,2135846.0,2285.875
TS_BS,OFF,bom_50_2_50_5,2251799813685247.0,2,180.4401,2157169.0,2261.1875
TS_BS,OFF,bom_50_2_50_5,2251799813685247.0,3,180.4143,2209135.0,2264.96875
TS_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,1,180.4805,2081650.0,2335.53125
TS_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,2,180.5268,2071359.0,2338.0
TS_BS_opt,ON,bom_50_2_50_5,2251799813685247.0,3,180.2655,2068688.0,2335.90625
