Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
GA,OFF,bom_50_2_50_5,1111.0,1,185.0133,3232500.0
GA,OFF,bom_50_2_50_5,1111.0,2,184.4692,3232500.0
GA,OFF,bom_50_2_50_5,1111.0,3,184.1548,3232500.0
GA_opt,ON,bom_50_2_50_5,1111.0,1,185.2921,3182800.0
GA_opt,ON,bom_50_2_50_5,1111.0,2,185.5185,3166429.0
GA_opt,ON,bom_50_2_50_5,1111.0,3,184.6029,3150815.0
GA_BS,OFF,bom_50_2_50_5,1111.0,1,184.8652,3146980.0
GA_BS,OFF,bom_50_2_50_5,1111.0,2,184.7584,3138002.0
GA_BS,OFF,bom_50_2_50_5,1111.0,3,184.7096,3157028.0
GA_BS_opt,ON,bom_50_2_50_5,1111.0,1,185.2398,3058287.0
GA_BS_opt,ON,bom_50_2_50_5,1111.0,2,184.5243,3028546.0
GA_BS_opt,ON,bom_50_2_50_5,1111.0,3,184.8847,3029332.0
ABC,OFF,bom_50_2_50_5,1111.0,1,184.0303,3606500.0
ABC,OFF,bom_50_2_50_5,1111.0,2,183.8842,3639000.0
ABC,OFF,bom_50_2_50_5,1111.0,3,183.8996,3644700.0
ABC_opt,ON,bom_50_2_50_5,1111.0,1,183.9249,3498500.0
ABC_opt,ON,bom_50_2_50_5,1111.0,2,183.9118,3497405.0
ABC_opt,ON,bom_50_2_50_5,1111.0,3,183.9323,3443900.0
ABC_BS,OFF,bom_50_2_50_5,1111.0,1,183.9102,3361994.0
ABC_BS,OFF,bom_50_2_50_5,1111.0,2,183.9049,3432546.0
ABC_BS,OFF,bom_50_2_50_5,1111.0,3,183.9184,3431538.0
ABC_BS_opt,ON,bom_50_2_50_5,1111.0,1,183.9331,3325527.0
ABC_BS_opt,ON,bom_50_2_50_5,1111.0,2,183.9798,3274380.0
ABC_BS_opt,ON,bom_50_2_50_5,1111.0,3,183.9489,3278628.0
TS,OFF,bom_50_2_50_5,1111.0,1,180.4913,3232100.0
TS,OFF,bom_50_2_50_5,1111.0,2,180.4771,3142000.0
TS,OFF,bom_50_2_50_5,1111.0,3,180.4973,3082000.0
TS_opt,ON,bom_50_2_50_5,1111.0,1,180.4698,3080800.0
TS_opt,ON,bom_50_2_50_5,1111.0,2,180.4864,3070200.0
TS_opt,ON,bom_50_2_50_5,1111.0,3,180.4808,3041700.0
TS_BS,OFF,bom_50_2_50_5,1111.0,1,180.53,2312490.0
TS_BS,OFF,bom_50_2_50_5,1111.0,2,180.5173,2390249.0
TS_BS,OFF,bom_50_2_50_5,1111.0,3,180.5018,2367581.0
TS_BS_opt,ON,bom_50_2_50_5,1111.0,1,180.4963,2196389.0
TS_BS_opt,ON,bom_50_2_50_5,1111.0,2,180.5913,2231442.0
TS_BS_opt,ON,bom_50_2_50_5,1111.0,3,180.5356,2256514.0
