Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
LS_TS_3min,OFF,bom_2_3_10_5,13.0,11,180.2204,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,12,180.2057,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,13,180.2027,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,14,180.2111,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,15,180.1947,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,16,180.2034,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,17,180.1945,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,18,180.209,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,19,180.2002,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,20,180.2202,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,21,180.2243,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,22,180.2105,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,23,180.2237,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,24,180.2041,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,25,180.2072,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,26,180.1913,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,27,180.2205,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,28,180.2196,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,29,180.2237,78800.0
LS_TS_3min,OFF,bom_2_3_10_5,13.0,30,180.2146,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,1,180.2314,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,2,180.1934,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,3,180.1978,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,4,180.2354,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,5,180.1967,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,6,180.2343,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,7,180.1975,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,8,180.2084,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,9,180.2099,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,10,180.1873,78800.0
LS_TS_3min,ON,bom_2_3_10_5,13.0,11,180.2054,78800.0
