Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
BS_TS_6min,OFF,bom_2_2_10_5,7.0,1,360.1875,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,2,360.1719,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,3,360.1997,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,4,360.2687,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,5,360.163,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,6,360.1899,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,7,360.2077,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,8,360.1932,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,9,360.2787,95470.0
BS_TS_6min,OFF,bom_2_2_10_5,7.0,10,360.3736,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,1,360.2507,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,2,360.2089,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,3,360.2568,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,4,360.2833,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,5,360.1915,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,6,360.1946,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,7,360.2156,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,8,360.2098,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,9,360.1863,95470.0
BS_TS_6min,ON,bom_2_2_10_5,7.0,10,360.1784,95470.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,1,360.1925,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,2,360.3075,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,3,360.2767,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,4,360.2505,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,5,360.2374,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,6,360.2375,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,7,360.2297,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,8,360.2246,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,9,360.2537,293754.0
BS_TS_6min,OFF,bom_2_3_10_5,13.0,10,360.302,293754.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,1,360.2323,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,2,360.2274,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,3,360.5411,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,4,360.203,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,5,360.2468,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,6,360.2151,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,7,360.2333,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,8,360.2243,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,9,360.2185,186390.0
BS_TS_6min,ON,bom_2_3_10_5,13.0,10,360.2389,186390.0
BS_TS_6min,OFF,bom_2_4_10_5,21.0,1,360.3373,241549.0
BS_TS_6min,OFF,bom_2_4_10_5,21.0,2,360.2133,241549.0
