BOM,Nodes,Algorithm,Makespan,std_Makespan,MinMakespan,MaxMakespan
bom_2_2_10_5,7,LS_MZN_CPLEX32_1h,175820,0,,
bom_2_3_10_5,13,LS_MZN_CPLEX32_1h,301430,0,,
bom_2_4_10_5,21,LS_MZN_CPLEX32_1h,250320,0,,
bom_2_5_10_5,31,LS_MZN_CPLEX32_1h,300420,0,,
bom_2_6_10_5,43,LS_MZN_CPLEX32_1h,405940,0,,
bom_2_7_10_5,57,LS_MZN_CPLEX32_1h,533090,0,,
bom_2_8_10_5,73,LS_MZN_CPLEX32_1h,744100,0,,
bom_2_9_10_5,91,LS_MZN_CPLEX32_1h,883930,0,,
bom_2_10_10_5,111,LS_MZN_CPLEX32_1h,1103760,0,,
bom_2_11_10_5,133,LS_MZN_CPLEX32_1h,1422800,0,,
bom_2_12_10_5,157,LS_MZN_CPLEX32_1h,1644230,0,,
bom_2_13_10_5,183,LS_MZN_CPLEX32_1h,2225650,0,,
bom_2_2_10_5,7,BS_MZN_CPLEX32_1h,95470,0,,
bom_2_3_10_5,13,BS_MZN_CPLEX32_1h,293754,0,,
bom_2_4_10_5,21,BS_MZN_CPLEX32_1h,241549,0,,
bom_2_5_10_5,31,BS_MZN_CPLEX32_1h,280300,0,,
bom_2_6_10_5,43,BS_MZN_CPLEX32_1h,393484,0,,
bom_2_7_10_5,57,BS_MZN_CPLEX32_1h,520072,0,,
bom_2_8_10_5,73,BS_MZN_CPLEX32_1h,708914,0,,
bom_2_9_10_5,91,BS_MZN_CPLEX32_1h,869430,0,,
bom_2_10_10_5,111,BS_MZN_CPLEX32_1h,1079926,0,,
bom_2_11_10_5,133,BS_MZN_CPLEX32_1h,1400335,0,,
bom_2_12_10_5,157,BS_MZN_CPLEX32_1h,1571519,0,,
bom_2_13_10_5,183,BS_MZN_CPLEX32_1h,1843188,0,,
bom_2_14_10_5,211,BS_MZN_CPLEX32_1h,3196960,0,,
bom_2_2_10_5,7,LETSA,175820,0,,
bom_2_3_10_5,13,LETSA,190330,0,,
bom_2_4_10_5,21,LETSA,362720,0,,
bom_2_5_10_5,31,LETSA,372620,0,,
bom_2_6_10_5,43,LETSA,517640,0,,
bom_2_7_10_5,57,LETSA,643890,0,,
bom_2_8_10_5,73,LETSA,804600,0,,
bom_2_9_10_5,91,LETSA,1233200,0,,
bom_2_10_10_5,111,LETSA,1271860,0,,
bom_2_11_10_5,133,LETSA,1698800,0,,
bom_2_12_10_5,157,LETSA,1731430,0,,
bom_2_13_10_5,183,LETSA,1994300,0,,
bom_2_14_10_5,211,LETSA,2273000,0,,
bom_2_15_10_5,241,LETSA,2827400,0,,
bom_2_16_10_5,273,LETSA,3206600,0,,
